1,(2) Tel Aviv University
3,Technion Israel Institute of Technology
5,University of Tehran
7,King Saud University
9,Middle East Technical University / Orta Dogu Teknik Universitesi
11,King Abdullah University of Science & Technology
13,Istanbul Technical University / Istanbul Teknik Universitesi
15,Bogazici University
17,Bilkent University
19,Hacettepe University
21,Istanbul University
23,Amirkabir University of Technology
25,King Fahd University of Petroleum & Minerals
27,Ege University
29,Gazi University
31,Iran University of Science & Technology Tehran
33,Ferdowsi University of Mashhad
35,Sabanci University
37,Alexandria University
39,Marmara University
41,University of Jordan
43,Shahid Beheshti University
45,(1) Cukurova University
47,Ataturk University
49,Erciyes University
51,Sultan Qaboos University
53,Shiraz University of Medical Sciences
55,Ain Shams University
57,Khaje-Nassir-Toosi University of Technology
59,Karadeniz Technical University
61,Islamic Azad University Tehran Science & Research Branch
63,Umm Al Qura University
65,Akdeniz University
67,TOBB Economics and Technology University
69,Payam Noor University
71,Izmir Institute of Technology / Izmir Yuksek Teknoloji Enstitusu
73,Iran University of Medical Sciences
75,Interdisciplinary Center Herzliya
77,Cankaya University
79,(1) Pamukkale University
81,Eskisehir Osmangazi University
83,Assiut University
85,Bu Ali Sina University Hamedan
87,University of Kashan
89,Yuzuncu Yil University
91,Ozyegin University
93,Zagazig University
95,Kocaeli University
97,Canakkale Onsekyz Mart University
99,Birzeit University
2,Hebrew University of Jerusalem
4,Weizmann Institute of Science
6,Ben Gurion University of the Negev
8,King Abdulaziz University
10,Bar Ilan University
12,Tehran University of Medical Sciences
14,University of Haifa
16,Sharif University of Technology Tehran
18,American University of Beirut
20,Cairo University
22,Ankara University
24,University of Anatolia / Anadolu Universitesi
26,Tarbiat Modares University
28,Shahid Beheshti University of Medical Sciences
30,Isfahan University of Technology
32,Koc University
34,Qatar University
36,Dokuz Eylul University
38,United Arab Emirates University
40,Uludag University
42,Yildiz Technical University / Yldz Teknik Universitesi
44,Shiraz University
46,Mashhad University of Medical Sciences
48,Mansoura University
50,American University in Cairo
52,University of Tabriz
54,Tabriz University of Medical Sciences and Health Services
56,Isfahan University of Medical Sciences
58,Selcuk University
60,Gaziantep University
62,Islamic Azad University Mashhad
64,Sakarya University
66,University of Isfahan
68,Firat University / Fyrat Universitesi
70,Suleyman Demirel University Turkey
72,Universite Saint Joseph de Beyrouth
74,Jordan University of Science & Technology
76,Ondokuz Mayys University
78,Benha University
80,American University of Sharjah
82,An Najah National University
84,Lebanese American University
86,University of Guilan
88,Mersin University
90,Istanbul Bilgi University
92,Open University of Israel
94,Dogus University
96,Semnan University
98,Yeditepe University
100,Baskent University
